0.0	0.0%
0.001	4.0%
0.002	10.2%
0.003	14.0%
0.004	15.0%
0.005	19.0%
0.006	18.8%
0.007	21.4%
0.008	21.6%
0.009	23.8%
0.01	27.2%
0.02	36.6%
0.03	45.2%
0.04	53.8%
0.05	55.6%
0.06	60.0%
0.07	64.2%
0.08	66.0%
0.09	65.6%
0.1	65.0%
0.2	81.0%
0.3	85.2%
0.4	87.4%
0.5	91.6%
0.6	91.8%
0.7	92.6%
0.8	94.0%
0.9	93.6%
1.0	95.2%
1.1	93.8%
1.2	95.0%
1.3	93.8%
1.4	95.6%
1.5	95.4%
1.6	95.8%
1.7	95.2%
1.8	95.2%
1.9	94.2%
