0.0	0.0%	100.0%
0.001	0.0%	100.0%
0.002	0.0%	100.0%
0.003	0.0%	100.0%
0.004	0.0%	100.0%
0.005	100.0%	100.0%
0.006	100.0%	100.0%
0.007	0.0%	100.0%
0.008	0.0%	100.0%
0.009	0.0%	100.0%
0.01	0.0%	100.0%
0.02	100.0%	0.0%
0.03	0.0%	100.0%
0.04	0.0%	100.0%
0.05	100.0%	100.0%
0.06	0.0%	100.0%
0.07	0.0%	100.0%
0.08	0.0%	100.0%
0.09	0.0%	0.0%
0.1	100.0%	100.0%
0.2	100.0%	0.0%
0.3	100.0%	0.0%
0.4	100.0%	0.0%
0.5	100.0%	0.0%
0.6	100.0%	0.0%
0.7	100.0%	0.0%
0.8	0.0%	100.0%
0.9	100.0%	0.0%
1.0	100.0%	0.0%
1.1	100.0%	0.0%
1.2	100.0%	0.0%
1.3	0.0%	0.0%
1.4	100.0%	0.0%
1.5	100.0%	100.0%
1.6	100.0%	0.0%
1.7	100.0%	0.0%
1.8	100.0%	0.0%
1.9	100.0%	0.0%
