0.0	0.1%	100.0%
0.001	1.7%	94.5%
0.002	3.1%	89.3%
0.003	3.6%	88.0%
0.004	4.7%	84.0%
0.005	5.8%	82.4%
0.006	6.4%	80.4%
0.007	6.3%	78.1%
0.008	5.7%	78.1%
0.009	7.0%	73.8%
0.01	7.4%	73.8%
0.02	10.6%	66.3%
0.03	12.7%	59.5%
0.04	19.1%	51.6%
0.05	17.8%	46.8%
0.06	19.8%	42.4%
0.07	21.5%	40.9%
0.08	26.0%	42.1%
0.09	27.3%	38.9%
0.1	24.8%	35.0%
0.2	28.7%	29.1%
0.3	30.6%	24.6%
0.4	34.3%	21.8%
0.5	30.5%	20.1%
0.6	28.3%	19.4%
0.7	29.9%	18.6%
0.8	28.5%	20.9%
0.9	27.7%	20.1%
1.0	30.1%	18.0%
1.1	26.4%	14.1%
1.2	23.7%	14.5%
1.3	27.4%	13.9%
1.4	23.8%	16.2%
1.5	24.7%	15.3%
1.6	20.1%	17.1%
1.7	19.3%	15.8%
1.8	20.1%	19.9%
1.9	25.3%	18.1%
